"Instrument","Fluorophore","Detector","AdjustedY"
"BDFACS Symphony A5","Alexa Fluor 405","488-810/79 770LP",0
"BDFACS Symphony A5","Alexa Fluor 405","561-585/30 570LP",0
"BDFACS Symphony A5","Alexa Fluor 405","561-602/40 595LP",0
"BDFACS Symphony A5","Alexa Fluor 405","561-660/30 645LP",0
"BDFACS Symphony A5","Alexa Fluor 405","561-670/20 665LP",0
"BDFACS Symphony A5","Alexa Fluor 405","561-695/40 680LP",0
"BDFACS Symphony A5","Alexa Fluor 405","561-730/50 699LP",0
"BDFACS Symphony A5","Alexa Fluor 405","561-750/40 735LP",0
"BDFACS Symphony A5","Alexa Fluor 405","561-780/60 750LP",0
"BDFACS Symphony A5","Alexa Fluor 405","561-825/49 800LP",0
"BDFACS Symphony A5","Alexa Fluor 405","637-660/30 645LP",0
"BDFACS Symphony A5","Alexa Fluor 405","637-675/20 665LP",0
"BDFACS Symphony A5","Alexa Fluor 405","637-680/30 680LP",0
"BDFACS Symphony A5","Alexa Fluor 405","637-710/25 699LP",0
"BDFACS Symphony A5","Alexa Fluor 405","637-730/50 720LP",0
"BDFACS Symphony A5","Alexa Fluor 405","637-780/60 750LP",0
"BDFACS Symphony A5","Alexa Fluor 488","355-379/34 365LP",0
"BDFACS Symphony A5","Alexa Fluor 488","355-446/67 425LP",0
"BDFACS Symphony A5","Alexa Fluor 488","355-515/60 495LP",0
"BDFACS Symphony A5","Alexa Fluor 488","355-540/20 535LP",0
"BDFACS Symphony A5","Alexa Fluor 488","355-585/30 570LP",0
"BDFACS Symphony A5","Alexa Fluor 488","355-610/30 595LP",0
"BDFACS Symphony A5","Alexa Fluor 488","355-660/30 645LP",0
"BDFACS Symphony A5","Alexa Fluor 488","355-695/40 675LP",0
"BDFACS Symphony A5","Alexa Fluor 488","355-736/64 704LP",0
"BDFACS Symphony A5","Alexa Fluor 488","355-809/82 765LP",0
"BDFACS Symphony A5","Alexa Fluor 488","405-427/25 415LP",0
"BDFACS Symphony A5","Alexa Fluor 488","405-450/40 430LP",0
"BDFACS Symphony A5","Alexa Fluor 488","405-470/15 465LP",0
"BDFACS Symphony A5","Alexa Fluor 488","405-510/40 495LP",0
"BDFACS Symphony A5","Alexa Fluor 488","405-540/20 530LP",0
"BDFACS Symphony A5","Alexa Fluor 488","405-576/20 570LP",0
"BDFACS Symphony A5","Alexa Fluor 488","405-595/30 585LP",0
"BDFACS Symphony A5","Alexa Fluor 488","405-615/25 605LP",0
"BDFACS Symphony A5","Alexa Fluor 488","405-660/30 645LP",0
"BDFACS Symphony A5","Alexa Fluor 488","405-680/30 665LP",0
"BDFACS Symphony A5","Alexa Fluor 488","405-710/40 690LP",0
"BDFACS Symphony A5","Alexa Fluor 488","405-750/40 730LP",0
"BDFACS Symphony A5","Alexa Fluor 488","405-785/50 765LP",0
"BDFACS Symphony A5","Alexa Fluor 488","405-845/70 810LP",0
"BDFACS Symphony A5","Alexa Fluor 488","488-537/32 520LP",0.832738088
"BDFACS Symphony A5","Alexa Fluor 488","488-576/20 570LP",0.116552744
"BDFACS Symphony A5","Alexa Fluor 488","488-602/40 585LP",0.101835837
"BDFACS Symphony A5","Alexa Fluor 488","488-660/30 645LP",0.030022613
"BDFACS Symphony A5","Alexa Fluor 488","488-675/20 665LP",0.02020029
"BDFACS Symphony A5","Alexa Fluor 488","488-710/50 685LP",0.015271323
"BDFACS Symphony A5","Alexa Fluor 488","488-750/60 724LP",0.010342971
"BDFACS Symphony A5","Alexa Fluor 488","488-810/79 770LP",0.005414004
"BDFACS Symphony A5","Alexa Fluor 488","561-585/30 570LP",0
"BDFACS Symphony A5","Alexa Fluor 488","561-602/40 595LP",0
"BDFACS Symphony A5","Alexa Fluor 488","561-660/30 645LP",0
"BDFACS Symphony A5","Alexa Fluor 488","561-670/20 665LP",0
