"Instrument","Fluorophore","Detector","AdjustedY"
"Bigfoot_6L_785","Alexa Fluor 488","349-387/11",0
"Bigfoot_6L_785","Alexa Fluor 488","349-420/10",0
"Bigfoot_6L_785","Alexa Fluor 488","349-434/17",0
"Bigfoot_6L_785","Alexa Fluor 488","349-455/14",0
"Bigfoot_6L_785","Alexa Fluor 488","349-473/15",0
"Bigfoot_6L_785","Alexa Fluor 488","349-507/19",0.146666666666667
"Bigfoot_6L_785","Alexa Fluor 488","349-549/15",0.09625
"Bigfoot_6L_785","Alexa Fluor 488","349-575/15",0.04125
"Bigfoot_6L_785","Alexa Fluor 488","349-615/24",0.006875
"Bigfoot_6L_785","Alexa Fluor 488","349-670/30",0
"Bigfoot_6L_785","Alexa Fluor 488","349-728/40",0
"Bigfoot_6L_785","Alexa Fluor 488","349-750LP",0
"Bigfoot_6L_785","Alexa Fluor 488","405-420/10",0
"Bigfoot_6L_785","Alexa Fluor 488","405-434/17",0
"Bigfoot_6L_785","Alexa Fluor 488","405-455/14",0
"Bigfoot_6L_785","Alexa Fluor 488","405-473/15",0
"Bigfoot_6L_785","Alexa Fluor 488","405-507/19",0.0266666666666667
"Bigfoot_6L_785","Alexa Fluor 488","405-549/15",0.0175
"Bigfoot_6L_785","Alexa Fluor 488","405-575/15",0.0075
"Bigfoot_6L_785","Alexa Fluor 488","405-615/24",0.00125
"Bigfoot_6L_785","Alexa Fluor 488","405-661/20",0
"Bigfoot_6L_785","Alexa Fluor 488","405-710/20",0
"Bigfoot_6L_785","Alexa Fluor 488","405-747/33",0
"Bigfoot_6L_785","Alexa Fluor 488","405-770LP",0
"Bigfoot_6L_785","Alexa Fluor 488","488-507/19",1
"Bigfoot_6L_785","Alexa Fluor 488","488-549/15",0.65625
"Bigfoot_6L_785","Alexa Fluor 488","488-583/30",0.1875
"Bigfoot_6L_785","Alexa Fluor 488","488-615/24",0.046875
"Bigfoot_6L_785","Alexa Fluor 488","488-670/30",0
"Bigfoot_6L_785","Alexa Fluor 488","488-720/60",0
"Bigfoot_6L_785","Alexa Fluor 488","488-750LP",0
"Bigfoot_6L_785","Alexa Fluor 488","561-575/15",0
"Bigfoot_6L_785","Alexa Fluor 488","561-589/15",0
"Bigfoot_6L_785","Alexa Fluor 488","561-605/15",0
"Bigfoot_6L_785","Alexa Fluor 488","561-622/15",0
"Bigfoot_6L_785","Alexa Fluor 488","561-661/20",0
"Bigfoot_6L_785","Alexa Fluor 488","561-685/15",0
"Bigfoot_6L_785","Alexa Fluor 488","561-700/13",0
