"Instrument","Fluorophore","Detector","AdjustedY"
"Bigfoot_7L_488_561","ATTO 390","349-387/11",0
"Bigfoot_7L_488_561","ATTO 390","349-420/10",0
"Bigfoot_7L_488_561","ATTO 390","349-434/17",0.0131337381725745
"Bigfoot_7L_488_561","ATTO 390","349-455/14",0.223273548933766
"Bigfoot_7L_488_561","ATTO 390","349-473/15",0.424657534246575
"Bigfoot_7L_488_561","ATTO 390","349-507/19",0.288942239796639
"Bigfoot_7L_488_561","ATTO 390","349-549/15",0.070046603587064
"Bigfoot_7L_488_561","ATTO 390","349-575/15",0.0218895636209575
"Bigfoot_7L_488_561","ATTO 390","349-615/24",0.0043779127241915
"Bigfoot_7L_488_561","ATTO 390","349-670/30",0
"Bigfoot_7L_488_561","ATTO 390","349-728/40",0
"Bigfoot_7L_488_561","ATTO 390","349-750LP",0
"Bigfoot_7L_488_561","ATTO 390","405-420/10",0
"Bigfoot_7L_488_561","ATTO 390","405-434/17",0.0309278350515464
"Bigfoot_7L_488_561","ATTO 390","405-455/14",0.525773195876289
"Bigfoot_7L_488_561","ATTO 390","405-473/15",1
"Bigfoot_7L_488_561","ATTO 390","405-507/19",0.680412371134021
"Bigfoot_7L_488_561","ATTO 390","405-549/15",0.164948453608247
"Bigfoot_7L_488_561","ATTO 390","405-575/15",0.0515463917525773
"Bigfoot_7L_488_561","ATTO 390","405-615/24",0.0103092783505155
"Bigfoot_7L_488_561","ATTO 390","405-661/20",0
"Bigfoot_7L_488_561","ATTO 390","405-710/20",0
"Bigfoot_7L_488_561","ATTO 390","405-747/33",0
"Bigfoot_7L_488_561","ATTO 390","405-770LP",0
"Bigfoot_7L_488_561","ATTO 390","445-465/22",0
"Bigfoot_7L_488_561","ATTO 390","445-525/35",0
"Bigfoot_7L_488_561","ATTO 390","445-583/30",0
"Bigfoot_7L_488_561","ATTO 390","445-650LP",0
"Bigfoot_7L_488_561","ATTO 390","488-507/19",0
"Bigfoot_7L_488_561","ATTO 390","488-549/15",0
"Bigfoot_7L_488_561","ATTO 390","488-583/30",0
"Bigfoot_7L_488_561","ATTO 390","488-615/24",0
"Bigfoot_7L_488_561","ATTO 390","488-670/30",0
"Bigfoot_7L_488_561","ATTO 390","488-720/60",0
"Bigfoot_7L_488_561","ATTO 390","488-750LP",0
"Bigfoot_7L_488_561","ATTO 390","561-575/15",0
"Bigfoot_7L_488_561","ATTO 390","561-589/15",0
"Bigfoot_7L_488_561","ATTO 390","561-605/15",0
"Bigfoot_7L_488_561","ATTO 390","561-622/15",0
"Bigfoot_7L_488_561","ATTO 390","561-661/20",0
"Bigfoot_7L_488_561","ATTO 390","561-685/15",0
"Bigfoot_7L_488_561","ATTO 390","561-700/13",0
"Bigfoot_7L_488_561","ATTO 390","561-720/24",0
"Bigfoot_7L_488_561","ATTO 390","561-760/50",0
"Bigfoot_7L_488_561","ATTO 390","561-800/12",0
