"Instrument","Fluorophore","Detector","AdjustedY"
"Cytek NorthernLights 1L","7-AAD","B1",0.00208715596330278
"Cytek NorthernLights 1L","7-AAD","B2",0
"Cytek NorthernLights 1L","7-AAD","B3",0
"Cytek NorthernLights 1L","7-AAD","B4",0.0190080275229357
"Cytek NorthernLights 1L","7-AAD","B5",0.0989965596330276
"Cytek NorthernLights 1L","7-AAD","B6",0.365917431192661
"Cytek NorthernLights 1L","7-AAD","B7",1
"Cytek NorthernLights 1L","7-AAD","B8",0.84920871559633
"Cytek NorthernLights 1L","7-AAD","B9",0.889724770642202
"Cytek NorthernLights 1L","7-AAD","B10",0.536760321100917
"Cytek NorthernLights 1L","7-AAD","B11",0.343147935779817
"Cytek NorthernLights 1L","7-AAD","B12",0.319340596330275
"Cytek NorthernLights 1L","7-AAD","B13",0.235172018348624
"Cytek NorthernLights 1L","7-AAD","B14",0.231829128440367
"Cytek NorthernLights 1L","Alexa Fluor 488","B1",0.783654976629484
"Cytek NorthernLights 1L","Alexa Fluor 488","B2",1
"Cytek NorthernLights 1L","Alexa Fluor 488","B3",0.691440369340177
"Cytek NorthernLights 1L","Alexa Fluor 488","B4",0.170034123820721
"Cytek NorthernLights 1L","Alexa Fluor 488","B5",0.0831187451610128
"Cytek NorthernLights 1L","Alexa Fluor 488","B6",0.0425085309551803
"Cytek NorthernLights 1L","Alexa Fluor 488","B7",0.0123992773779141
"Cytek NorthernLights 1L","Alexa Fluor 488","B8",0.00710004874831527
"Cytek NorthernLights 1L","Alexa Fluor 488","B9",0.00509850027241709
"Cytek NorthernLights 1L","Alexa Fluor 488","B10",0.00209904510652947
"Cytek NorthernLights 1L","Alexa Fluor 488","B11",0.000900410059358259
"Cytek NorthernLights 1L","Alexa Fluor 488","B12",0.000699681702176602
"Cytek NorthernLights 1L","Alexa Fluor 488","B13",0.000298224987813067
"Cytek NorthernLights 1L","Alexa Fluor 488","B14",0
"Cytek NorthernLights 1L","Alexa Fluor 532","B1",0
"Cytek NorthernLights 1L","Alexa Fluor 532","B2",0.123899082568807
"Cytek NorthernLights 1L","Alexa Fluor 532","B3",1
"Cytek NorthernLights 1L","Alexa Fluor 532","B4",0.644002293577982
"Cytek NorthernLights 1L","Alexa Fluor 532","B5",0.398400229357798
"Cytek NorthernLights 1L","Alexa Fluor 532","B6",0.244197247706422
"Cytek NorthernLights 1L","Alexa Fluor 532","B7",0.0829988532110092
"Cytek NorthernLights 1L","Alexa Fluor 532","B8",0.047901376146789
"Cytek NorthernLights 1L","Alexa Fluor 532","B9",0.0354013761467891
"Cytek NorthernLights 1L","Alexa Fluor 532","B10",0.0140997706422018
"Cytek NorthernLights 1L","Alexa Fluor 532","B11",0.00680045871559642
"Cytek NorthernLights 1L","Alexa Fluor 532","B12",0.00569954128440364
"Cytek NorthernLights 1L","Alexa Fluor 532","B13",0.00189793577981656
