"Instrument","Fluorophore","Detector","AdjustedY"
"SonyID700_3L","Alexa Fluor 350","405-1",0.0386
"SonyID700_3L","Alexa Fluor 350","405-2",0.0466
"SonyID700_3L","Alexa Fluor 350","405-3",0.0203
"SonyID700_3L","Alexa Fluor 350","405-4",0.013
"SonyID700_3L","Alexa Fluor 350","405-5",0.0085
"SonyID700_3L","Alexa Fluor 350","405-6",0
"SonyID700_3L","Alexa Fluor 350","405-7",0
"SonyID700_3L","Alexa Fluor 350","405-8",0
"SonyID700_3L","Alexa Fluor 350","405-9",0
"SonyID700_3L","Alexa Fluor 350","405-10",0
"SonyID700_3L","Alexa Fluor 350","405-11",0
"SonyID700_3L","Alexa Fluor 350","405-12",0
"SonyID700_3L","Alexa Fluor 350","405-13",0
"SonyID700_3L","Alexa Fluor 350","405-14",0
"SonyID700_3L","Alexa Fluor 350","405-15",0
"SonyID700_3L","Alexa Fluor 350","405-16",0
"SonyID700_3L","Alexa Fluor 350","405-17",0
"SonyID700_3L","Alexa Fluor 350","405-18",0
"SonyID700_3L","Alexa Fluor 350","405-19",0
"SonyID700_3L","Alexa Fluor 350","405-20",0
"SonyID700_3L","Alexa Fluor 350","405-21",0
"SonyID700_3L","Alexa Fluor 350","405-22",0
"SonyID700_3L","Alexa Fluor 350","405-23",0
"SonyID700_3L","Alexa Fluor 350","405-24",0
"SonyID700_3L","Alexa Fluor 350","405-25",2e-04
"SonyID700_3L","Alexa Fluor 350","405-26",4e-04
"SonyID700_3L","Alexa Fluor 350","405-27",1e-04
"SonyID700_3L","Alexa Fluor 350","405-28",0
"SonyID700_3L","Alexa Fluor 350","405-29",0
"SonyID700_3L","Alexa Fluor 350","405-30",0
"SonyID700_3L","Alexa Fluor 350","405-31",0.001
"SonyID700_3L","Alexa Fluor 350","405-32",1e-04
"SonyID700_3L","Alexa Fluor 350","405-33",7e-04
"SonyID700_3L","Alexa Fluor 350","405-34",0
"SonyID700_3L","Alexa Fluor 350","405-35",0
"SonyID700_3L","Alexa Fluor 350","488-1",0.0029
"SonyID700_3L","Alexa Fluor 350","488-2",0.0023
"SonyID700_3L","Alexa Fluor 350","488-3",7e-04
"SonyID700_3L","Alexa Fluor 350","488-4",0.0013
"SonyID700_3L","Alexa Fluor 350","488-5",0.0016
"SonyID700_3L","Alexa Fluor 350","488-6",0.0013
"SonyID700_3L","Alexa Fluor 350","488-7",7e-04
"SonyID700_3L","Alexa Fluor 350","488-8",1e-04
"SonyID700_3L","Alexa Fluor 350","488-9",1e-04
