Instrument,Fluorophore,Detector,AdjustedY
SonyID700_7L,4-MUP,488-17,0
SonyID700_7L,4-MUP,488-18,0
SonyID700_7L,4-MUP,488-19,0
SonyID700_7L,4-MUP,488-20,0
SonyID700_7L,4-MUP,488-21,0
SonyID700_7L,4-MUP,488-22,0
SonyID700_7L,4-MUP,488-23,0
SonyID700_7L,4-MUP,488-24,0
SonyID700_7L,4-MUP,488-25,0
SonyID700_7L,4-MUP,488-26,0
SonyID700_7L,4-MUP,488-27,0
SonyID700_7L,4-MUP,488-28,0
SonyID700_7L,4-MUP,488-29,0
SonyID700_7L,4-MUP,488-30,0
SonyID700_7L,4-MUP,488-31,0
SonyID700_7L,4-MUP,488-32,0
SonyID700_7L,4-MUP,561-10,0
SonyID700_7L,4-MUP,561-11,0
SonyID700_7L,4-MUP,561-12,0
SonyID700_7L,4-MUP,561-13,0
SonyID700_7L,4-MUP,561-14,0
SonyID700_7L,4-MUP,561-15,0
SonyID700_7L,4-MUP,561-16,0
SonyID700_7L,4-MUP,561-17,0
SonyID700_7L,4-MUP,561-18,0
SonyID700_7L,4-MUP,561-19,0
SonyID700_7L,4-MUP,561-20,0
SonyID700_7L,4-MUP,561-21,0
SonyID700_7L,4-MUP,561-22,0
SonyID700_7L,4-MUP,561-23,0
SonyID700_7L,4-MUP,561-24,0
SonyID700_7L,4-MUP,561-25,0
SonyID700_7L,4-MUP,561-26,0
SonyID700_7L,4-MUP,561-27,0
SonyID700_7L,4-MUP,561-28,0
SonyID700_7L,4-MUP,561-29,0
SonyID700_7L,4-MUP,561-30,0
SonyID700_7L,4-MUP,561-31,0
SonyID700_7L,4-MUP,561-32,0
SonyID700_7L,4-MUP,561-33,0
SonyID700_7L,4-MUP,561-34,0
SonyID700_7L,4-MUP,561-35,0
SonyID700_7L,4-MUP,637-17,0
SonyID700_7L,4-MUP,637-18,0
SonyID700_7L,4-MUP,637-19,0
SonyID700_7L,4-MUP,637-20,0
SonyID700_7L,4-MUP,637-21,0
SonyID700_7L,4-MUP,637-22,0
SonyID700_7L,4-MUP,637-23,0
SonyID700_7L,4-MUP,637-24,0
SonyID700_7L,4-MUP,637-25,0
SonyID700_7L,4-MUP,637-26,0
SonyID700_7L,4-MUP,637-27,0
SonyID700_7L,4-MUP,637-28,0
SonyID700_7L,4-MUP,637-29,0
SonyID700_7L,4-MUP,637-30,0
SonyID700_7L,4-MUP,637-31,0
SonyID700_7L,4-MUP,637-32,0
SonyID700_7L,4-MUP,637-33,0
SonyID700_7L,4-MUP,637-34,0
SonyID700_7L,4-MUP,637-35,0
SonyID700_7L,4-MUP,808-36,0
SonyID700_7L,4-MUP,808-37,0
SonyID700_7L,5-FAM,320-1,0
SonyID700_7L,5-FAM,320-2,0
SonyID700_7L,5-FAM,320-3,0
SonyID700_7L,5-FAM,320-4,0
SonyID700_7L,5-FAM,320-5,0
SonyID700_7L,5-FAM,320-6,0
SonyID700_7L,5-FAM,320-7,0
SonyID700_7L,5-FAM,320-8,0
SonyID700_7L,5-FAM,320-9,0
SonyID700_7L,5-FAM,320-10,0
SonyID700_7L,5-FAM,320-11,0
SonyID700_7L,5-FAM,320-12,0
SonyID700_7L,5-FAM,320-13,0
SonyID700_7L,5-FAM,320-14,0
SonyID700_7L,5-FAM,320-15,0
SonyID700_7L,5-FAM,320-16,0
SonyID700_7L,5-FAM,320-17,0
SonyID700_7L,5-FAM,320-18,0
SonyID700_7L,5-FAM,320-19,0
SonyID700_7L,5-FAM,320-20,0
SonyID700_7L,5-FAM,320-21,0
SonyID700_7L,5-FAM,320-22,0
SonyID700_7L,5-FAM,320-23,0
SonyID700_7L,5-FAM,320-24,0
SonyID700_7L,5-FAM,320-25,0
SonyID700_7L,5-FAM,320-26,0
SonyID700_7L,5-FAM,320-27,0
SonyID700_7L,5-FAM,320-28,0
SonyID700_7L,5-FAM,320-29,0
SonyID700_7L,5-FAM,320-30,0
SonyID700_7L,5-FAM,320-31,0
SonyID700_7L,5-FAM,320-32,0
SonyID700_7L,5-FAM,320-33,0
SonyID700_7L,5-FAM,320-34,0
SonyID700_7L,5-FAM,320-35,0
SonyID700_7L,5-FAM,355-1,0
SonyID700_7L,5-FAM,355-2,0
SonyID700_7L,5-FAM,355-3,0
SonyID700_7L,5-FAM,355-4,0
SonyID700_7L,5-FAM,355-5,0
SonyID700_7L,5-FAM,355-6,0
SonyID700_7L,5-FAM,355-7,0
SonyID700_7L,5-FAM,355-8,0
SonyID700_7L,5-FAM,355-9,0
SonyID700_7L,5-FAM,355-10,0
SonyID700_7L,5-FAM,355-11,0
SonyID700_7L,5-FAM,355-12,0
SonyID700_7L,5-FAM,355-13,0
SonyID700_7L,5-FAM,355-14,0
SonyID700_7L,5-FAM,355-15,0
SonyID700_7L,5-FAM,355-16,0
SonyID700_7L,5-FAM,355-17,0
SonyID700_7L,5-FAM,355-18,0
SonyID700_7L,5-FAM,355-19,0
SonyID700_7L,5-FAM,355-20,0
SonyID700_7L,5-FAM,355-21,0
SonyID700_7L,5-FAM,355-22,0
SonyID700_7L,5-FAM,355-23,0
SonyID700_7L,5-FAM,355-24,0
SonyID700_7L,5-FAM,355-25,0
SonyID700_7L,5-FAM,355-26,0
SonyID700_7L,5-FAM,355-27,0
SonyID700_7L,5-FAM,355-28,0
SonyID700_7L,5-FAM,355-29,0
SonyID700_7L,5-FAM,355-30,0
SonyID700_7L,5-FAM,355-31,0
SonyID700_7L,5-FAM,355-32,0
SonyID700_7L,5-FAM,355-33,0
SonyID700_7L,5-FAM,355-34,0
SonyID700_7L,5-FAM,355-35,0
SonyID700_7L,5-FAM,405-1,0
SonyID700_7L,5-FAM,405-2,0
SonyID700_7L,5-FAM,405-3,0
SonyID700_7L,5-FAM,405-4,0.00444926749864352
SonyID700_7L,5-FAM,405-5,0.0100922409115572
SonyID700_7L,5-FAM,405-6,0.0103092783505155
SonyID700_7L,5-FAM,405-7,0.0074877916440586
SonyID700_7L,5-FAM,405-8,0.00520889853499729
SonyID700_7L,5-FAM,405-9,0.00390667390124796
SonyID700_7L,5-FAM,405-10,0.00271296798697775
SonyID700_7L,5-FAM,405-11,0.00173629951166576
SonyID700_7L,5-FAM,405-12,0.0010851871947911
SonyID700_7L,5-FAM,405-13,0.000651112316874661
SonyID700_7L,5-FAM,405-14,0.000434074877916441
SonyID700_7L,5-FAM,405-15,0.00032555615843733
SonyID700_7L,5-FAM,405-16,0.00021703743895822
SonyID700_7L,5-FAM,405-17,0
SonyID700_7L,5-FAM,405-18,0
SonyID700_7L,5-FAM,405-19,0
SonyID700_7L,5-FAM,405-20,0
SonyID700_7L,5-FAM,405-21,0
SonyID700_7L,5-FAM,405-22,0
SonyID700_7L,5-FAM,405-23,0
SonyID700_7L,5-FAM,405-24,0
SonyID700_7L,5-FAM,405-25,0
SonyID700_7L,5-FAM,405-26,0
SonyID700_7L,5-FAM,405-27,0
SonyID700_7L,5-FAM,405-28,0
SonyID700_7L,5-FAM,405-29,0
SonyID700_7L,5-FAM,405-30,0
SonyID700_7L,5-FAM,405-31,0
SonyID700_7L,5-FAM,405-32,0
SonyID700_7L,5-FAM,405-33,0
SonyID700_7L,5-FAM,405-34,0
SonyID700_7L,5-FAM,405-35,0
SonyID700_7L,5-FAM,488-1,0.431578947368421
SonyID700_7L,5-FAM,488-2,0.978947368421053
SonyID700_7L,5-FAM,488-3,1
SonyID700_7L,5-FAM,488-4,0.726315789473684
SonyID700_7L,5-FAM,488-5,0.505263157894737
SonyID700_7L,5-FAM,488-6,0.378947368421053
SonyID700_7L,5-FAM,488-7,0.263157894736842
SonyID700_7L,5-FAM,488-8,0.168421052631579
SonyID700_7L,5-FAM,488-9,0.105263157894737
SonyID700_7L,5-FAM,488-10,0.0631578947368421
SonyID700_7L,5-FAM,488-11,0.0421052631578947
SonyID700_7L,5-FAM,488-12,0.031578947368421
SonyID700_7L,5-FAM,488-13,0.0210526315789474
SonyID700_7L,5-FAM,488-14,0
SonyID700_7L,5-FAM,488-15,0
SonyID700_7L,5-FAM,488-16,0
SonyID700_7L,5-FAM,488-17,0
SonyID700_7L,5-FAM,488-18,0
SonyID700_7L,5-FAM,488-19,0
SonyID700_7L,5-FAM,488-20,0
SonyID700_7L,5-FAM,488-21,0
SonyID700_7L,5-FAM,488-22,0
SonyID700_7L,5-FAM,488-23,0
SonyID700_7L,5-FAM,488-24,0
SonyID700_7L,5-FAM,488-25,0
SonyID700_7L,5-FAM,488-26,0
SonyID700_7L,5-FAM,488-27,0
SonyID700_7L,5-FAM,488-28,0
SonyID700_7L,5-FAM,488-29,0
SonyID700_7L,5-FAM,488-30,0
SonyID700_7L,5-FAM,488-31,0
SonyID700_7L,5-FAM,488-32,0
SonyID700_7L,5-FAM,561-10,0
SonyID700_7L,5-FAM,561-11,0
SonyID700_7L,5-FAM,561-12,0
SonyID700_7L,5-FAM,561-13,0
SonyID700_7L,5-FAM,561-14,0
SonyID700_7L,5-FAM,561-15,0
SonyID700_7L,5-FAM,561-16,0
SonyID700_7L,5-FAM,561-17,0
SonyID700_7L,5-FAM,561-18,0
SonyID700_7L,5-FAM,561-19,0
SonyID700_7L,5-FAM,561-20,0
SonyID700_7L,5-FAM,561-21,0
SonyID700_7L,5-FAM,561-22,0
SonyID700_7L,5-FAM,561-23,0
SonyID700_7L,5-FAM,561-24,0
SonyID700_7L,5-FAM,561-25,0
SonyID700_7L,5-FAM,561-26,0
SonyID700_7L,5-FAM,561-27,0
SonyID700_7L,5-FAM,561-28,0
SonyID700_7L,5-FAM,561-29,0
SonyID700_7L,5-FAM,561-30,0
SonyID700_7L,5-FAM,561-31,0
SonyID700_7L,5-FAM,561-32,0
SonyID700_7L,5-FAM,561-33,0
SonyID700_7L,5-FAM,561-34,0
SonyID700_7L,5-FAM,561-35,0
SonyID700_7L,5-FAM,637-17,0
SonyID700_7L,5-FAM,637-18,0
SonyID700_7L,5-FAM,637-19,0
SonyID700_7L,5-FAM,637-20,0
SonyID700_7L,5-FAM,637-21,0
SonyID700_7L,5-FAM,637-22,0
SonyID700_7L,5-FAM,637-23,0
SonyID700_7L,5-FAM,637-24,0
SonyID700_7L,5-FAM,637-25,0
SonyID700_7L,5-FAM,637-26,0
SonyID700_7L,5-FAM,637-27,0
SonyID700_7L,5-FAM,637-28,0
SonyID700_7L,5-FAM,637-29,0
SonyID700_7L,5-FAM,637-30,0
SonyID700_7L,5-FAM,637-31,0
SonyID700_7L,5-FAM,637-32,0
SonyID700_7L,5-FAM,637-33,0
SonyID700_7L,5-FAM,637-34,0
SonyID700_7L,5-FAM,637-35,0
SonyID700_7L,5-FAM,808-36,0
SonyID700_7L,5-FAM,808-37,0
SonyID700_7L,5-TAMRA,320-1,0
SonyID700_7L,5-TAMRA,320-2,0
SonyID700_7L,5-TAMRA,320-3,0
SonyID700_7L,5-TAMRA,320-4,0
SonyID700_7L,5-TAMRA,320-5,0
SonyID700_7L,5-TAMRA,320-6,0
SonyID700_7L,5-TAMRA,320-7,0
SonyID700_7L,5-TAMRA,320-8,0
SonyID700_7L,5-TAMRA,320-9,0
SonyID700_7L,5-TAMRA,320-10,0
SonyID700_7L,5-TAMRA,320-11,0
SonyID700_7L,5-TAMRA,320-12,0
SonyID700_7L,5-TAMRA,320-13,0
SonyID700_7L,5-TAMRA,320-14,0
SonyID700_7L,5-TAMRA,320-15,0
SonyID700_7L,5-TAMRA,320-16,0
SonyID700_7L,5-TAMRA,320-17,0
SonyID700_7L,5-TAMRA,320-18,0
SonyID700_7L,5-TAMRA,320-19,0
SonyID700_7L,5-TAMRA,320-20,0
SonyID700_7L,5-TAMRA,320-21,0
SonyID700_7L,5-TAMRA,320-22,0
SonyID700_7L,5-TAMRA,320-23,0
SonyID700_7L,5-TAMRA,320-24,0
SonyID700_7L,5-TAMRA,320-25,0
SonyID700_7L,5-TAMRA,320-26,0
SonyID700_7L,5-TAMRA,320-27,0
SonyID700_7L,5-TAMRA,320-28,0
SonyID700_7L,5-TAMRA,320-29,0
SonyID700_7L,5-TAMRA,320-30,0
SonyID700_7L,5-TAMRA,320-31,0
SonyID700_7L,5-TAMRA,320-32,0
SonyID700_7L,5-TAMRA,320-33,0
SonyID700_7L,5-TAMRA,320-34,0
SonyID700_7L,5-TAMRA,320-35,0
SonyID700_7L,5-TAMRA,355-1,0
SonyID700_7L,5-TAMRA,355-2,0
SonyID700_7L,5-TAMRA,355-3,0
SonyID700_7L,5-TAMRA,355-4,0
SonyID700_7L,5-TAMRA,355-5,0
SonyID700_7L,5-TAMRA,355-6,0
SonyID700_7L,5-TAMRA,355-7,0
SonyID700_7L,5-TAMRA,355-8,0
SonyID700_7L,5-TAMRA,355-9,0
SonyID700_7L,5-TAMRA,355-10,0
SonyID700_7L,5-TAMRA,355-11,0
SonyID700_7L,5-TAMRA,355-12,0
SonyID700_7L,5-TAMRA,355-13,0
SonyID700_7L,5-TAMRA,355-14,0
SonyID700_7L,5-TAMRA,355-15,0
SonyID700_7L,5-TAMRA,355-16,0
SonyID700_7L,5-TAMRA,355-17,0
SonyID700_7L,5-TAMRA,355-18,0
SonyID700_7L,5-TAMRA,355-19,0
SonyID700_7L,5-TAMRA,355-20,0
SonyID700_7L,5-TAMRA,355-21,0
SonyID700_7L,5-TAMRA,355-22,0
SonyID700_7L,5-TAMRA,355-23,0
SonyID700_7L,5-TAMRA,355-24,0
SonyID700_7L,5-TAMRA,355-25,0
SonyID700_7L,5-TAMRA,355-26,0
SonyID700_7L,5-TAMRA,355-27,0
SonyID700_7L,5-TAMRA,355-28,0
SonyID700_7L,5-TAMRA,355-29,0
SonyID700_7L,5-TAMRA,355-30,0
SonyID700_7L,5-TAMRA,355-31,0
SonyID700_7L,5-TAMRA,355-32,0
SonyID700_7L,5-TAMRA,355-33,0
SonyID700_7L,5-TAMRA,355-34,0
SonyID700_7L,5-TAMRA,355-35,0
SonyID700_7L,5-TAMRA,405-1,0
SonyID700_7L,5-TAMRA,405-2,0
SonyID700_7L,5-TAMRA,405-3,0
SonyID700_7L,5-TAMRA,405-4,0
SonyID700_7L,5-TAMRA,405-5,0
SonyID700_7L,5-TAMRA,405-6,0
SonyID700_7L,5-TAMRA,405-7,0
SonyID700_7L,5-TAMRA,405-8,0
SonyID700_7L,5-TAMRA,405-9,0
SonyID700_7L,5-TAMRA,405-10,0
SonyID700_7L,5-TAMRA,405-11,0
SonyID700_7L,5-TAMRA,405-12,0
SonyID700_7L,5-TAMRA,405-13,0
SonyID700_7L,5-TAMRA,405-14,0
SonyID700_7L,5-TAMRA,405-15,0
SonyID700_7L,5-TAMRA,405-16,0
SonyID700_7L,5-TAMRA,405-17,0
SonyID700_7L,5-TAMRA,405-18,0
SonyID700_7L,5-TAMRA,405-19,0
SonyID700_7L,5-TAMRA,405-20,0
SonyID700_7L,5-TAMRA,405-21,0
SonyID700_7L,5-TAMRA,405-22,0
SonyID700_7L,5-TAMRA,405-23,0
SonyID700_7L,5-TAMRA,405-24,0
SonyID700_7L,5-TAMRA,405-25,0
SonyID700_7L,5-TAMRA,405-26,0
SonyID700_7L,5-TAMRA,405-27,0
SonyID700_7L,5-TAMRA,405-28,0
SonyID700_7L,5-TAMRA,405-29,0
SonyID700_7L,5-TAMRA,405-30,0
SonyID700_7L,5-TAMRA,405-31,0
SonyID700_7L,5-TAMRA,405-32,0
SonyID700_7L,5-TAMRA,405-33,0
SonyID700_7L,5-TAMRA,405-34,0
SonyID700_7L,5-TAMRA,405-35,0
SonyID700_7L,5-TAMRA,488-1,0
SonyID700_7L,5-TAMRA,488-2,0
SonyID700_7L,5-TAMRA,488-3,0
SonyID700_7L,5-TAMRA,488-4,0
SonyID700_7L,5-TAMRA,488-5,0.0122767857142857
SonyID700_7L,5-TAMRA,488-6,0.0558035714285714
SonyID700_7L,5-TAMRA,488-7,0.102678571428571
SonyID700_7L,5-TAMRA,488-8,0.107142857142857
SonyID700_7L,5-TAMRA,488-9,0.0770089285714286
SonyID700_7L,5-TAMRA,488-10,0.0502232142857143
SonyID700_7L,5-TAMRA,488-11,0.0345982142857143
SonyID700_7L,5-TAMRA,488-12,0.0279017857142857
SonyID700_7L,5-TAMRA,488-13,0.0212053571428571
SonyID700_7L,5-TAMRA,488-14,0.0145089285714286
SonyID700_7L,5-TAMRA,488-15,0.0100446428571429
SonyID700_7L,5-TAMRA,488-16,0.00558035714285714
SonyID700_7L,5-TAMRA,488-17,0.00334821428571429
SonyID700_7L,5-TAMRA,488-18,0.00223214285714286
SonyID700_7L,5-TAMRA,488-19,0
SonyID700_7L,5-TAMRA,488-20,0
SonyID700_7L,5-TAMRA,488-21,0
SonyID700_7L,5-TAMRA,488-22,0
SonyID700_7L,5-TAMRA,488-23,0
SonyID700_7L,5-TAMRA,488-24,0
SonyID700_7L,5-TAMRA,488-25,0
SonyID700_7L,5-TAMRA,488-26,0
SonyID700_7L,5-TAMRA,488-27,0
SonyID700_7L,5-TAMRA,488-28,0
SonyID700_7L,5-TAMRA,488-29,0
SonyID700_7L,5-TAMRA,488-30,0
SonyID700_7L,5-TAMRA,488-31,0
SonyID700_7L,5-TAMRA,488-32,0
SonyID700_7L,5-TAMRA,561-10,0.958333333333334
SonyID700_7L,5-TAMRA,561-11,1
SonyID700_7L,5-TAMRA,561-12,0.71875
SonyID700_7L,5-TAMRA,561-13,0.46875
SonyID700_7L,5-TAMRA,561-14,0.322916666666667
SonyID700_7L,5-TAMRA,561-15,0.260416666666667
SonyID700_7L,5-TAMRA,561-16,0.197916666666667
SonyID700_7L,5-TAMRA,561-17,0.135416666666667
SonyID700_7L,5-TAMRA,561-18,0.09375
SonyID700_7L,5-TAMRA,561-19,0.0520833333333333
SonyID700_7L,5-TAMRA,561-20,0.03125
SonyID700_7L,5-TAMRA,561-21,0.0208333333333333
SonyID700_7L,5-TAMRA,561-22,0
SonyID700_7L,5-TAMRA,561-23,0
SonyID700_7L,5-TAMRA,561-24,0
SonyID700_7L,5-TAMRA,561-25,0
