"Instrument","Fluorophore","Detector","AdjustedY"
"Bigfoot_6L_445","APC-Fire 750","561-575/15",0
"Bigfoot_6L_445","APC-Fire 750","561-589/15",0
"Bigfoot_6L_445","APC-Fire 750","561-605/15",0
"Bigfoot_6L_445","APC-Fire 750","561-622/15",0
"Bigfoot_6L_445","APC-Fire 750","561-661/20",0.0461133069828722
"Bigfoot_6L_445","APC-Fire 750","561-685/15",0.0131752305665349
"Bigfoot_6L_445","APC-Fire 750","561-700/13",0.00658761528326746
"Bigfoot_6L_445","APC-Fire 750","561-720/24",0.0131752305665349
"Bigfoot_6L_445","APC-Fire 750","561-760/50",0.217391304347826
"Bigfoot_6L_445","APC-Fire 750","561-800/12",0.507246376811594
"Bigfoot_6L_445","APC-Fire 750","561-832/37",0.118577075098814
"Bigfoot_6L_445","APC-Fire 750","561-860LP",0
"Bigfoot_6L_445","APC-Fire 750","640-670/30",0.151515151515152
"Bigfoot_6L_445","APC-Fire 750","640-700/13",0.0303030303030303
"Bigfoot_6L_445","APC-Fire 750","640-720/24",0.0606060606060606
"Bigfoot_6L_445","APC-Fire 750","640-760/50",1
"Bigfoot_6L_445","APC-Fire 750","640-770LP",0
"Bigfoot_6L_445","ATTO 514","349-387/11",0
"Bigfoot_6L_445","ATTO 514","349-420/10",0
"Bigfoot_6L_445","ATTO 514","349-434/17",0
"Bigfoot_6L_445","ATTO 514","349-455/14",0
"Bigfoot_6L_445","ATTO 514","349-473/15",0
"Bigfoot_6L_445","ATTO 514","349-507/19",0.0161290322580645
"Bigfoot_6L_445","ATTO 514","349-549/15",0.166666666666667
"Bigfoot_6L_445","ATTO 514","349-575/15",0.0725806451612903
"Bigfoot_6L_445","ATTO 514","349-615/24",0.0134408602150538
"Bigfoot_6L_445","ATTO 514","349-670/30",0
"Bigfoot_6L_445","ATTO 514","349-728/40",0
"Bigfoot_6L_445","ATTO 514","349-750LP",0
"Bigfoot_6L_445","ATTO 514","405-420/10",0
"Bigfoot_6L_445","ATTO 514","405-434/17",0
"Bigfoot_6L_445","ATTO 514","405-455/14",0
"Bigfoot_6L_445","ATTO 514","405-473/15",0
"Bigfoot_6L_445","ATTO 514","405-507/19",0.00268817204301075
"Bigfoot_6L_445","ATTO 514","405-549/15",0.0277777777777778
"Bigfoot_6L_445","ATTO 514","405-575/15",0.0120967741935484
"Bigfoot_6L_445","ATTO 514","405-615/24",0.00224014336917563
"Bigfoot_6L_445","ATTO 514","405-661/20",0.000448028673835126
"Bigfoot_6L_445","ATTO 514","405-710/20",0
"Bigfoot_6L_445","ATTO 514","405-747/33",0
"Bigfoot_6L_445","ATTO 514","405-770LP",0
"Bigfoot_6L_445","ATTO 514","445-465/22",0
"Bigfoot_6L_445","ATTO 514","445-525/35",0.172491039426523
"Bigfoot_6L_445","ATTO 514","445-583/30",0.0448028673835126
"Bigfoot_6L_445","ATTO 514","445-650LP",0
"Bigfoot_6L_445","ATTO 514","488-507/19",0.0967741935483871
"Bigfoot_6L_445","ATTO 514","488-549/15",1
"Bigfoot_6L_445","ATTO 514","488-583/30",0.32258064516129
"Bigfoot_6L_445","ATTO 514","488-615/24",0.0806451612903226
"Bigfoot_6L_445","ATTO 514","488-670/30",0
"Bigfoot_6L_445","ATTO 514","488-720/60",0
"Bigfoot_6L_445","ATTO 514","488-750LP",0
"Bigfoot_6L_445","ATTO 514","561-575/15",0
"Bigfoot_6L_445","ATTO 514","561-589/15",0
"Bigfoot_6L_445","ATTO 514","561-605/15",0
"Bigfoot_6L_445","ATTO 514","561-622/15",0
"Bigfoot_6L_445","ATTO 514","561-661/20",0
"Bigfoot_6L_445","ATTO 514","561-685/15",0
"Bigfoot_6L_445","ATTO 514","561-700/13",0
"Bigfoot_6L_445","ATTO 514","561-720/24",0
"Bigfoot_6L_445","ATTO 514","561-760/50",0
"Bigfoot_6L_445","ATTO 514","561-800/12",0
"Bigfoot_6L_445","ATTO 514","561-832/37",0
"Bigfoot_6L_445","ATTO 514","561-860LP",0
"Bigfoot_6L_445","ATTO 514","640-670/30",0
"Bigfoot_6L_445","ATTO 514","640-700/13",0
"Bigfoot_6L_445","ATTO 514","640-720/24",0
"Bigfoot_6L_445","ATTO 514","640-760/50",0
"Bigfoot_6L_445","ATTO 514","640-770LP",0
"Bigfoot_6L_445","California Red","349-387/11",0
"Bigfoot_6L_445","California Red","349-420/10",0
"Bigfoot_6L_445","California Red","349-434/17",0
"Bigfoot_6L_445","California Red","349-455/14",0
"Bigfoot_6L_445","California Red","349-473/15",0
"Bigfoot_6L_445","California Red","349-507/19",0
"Bigfoot_6L_445","California Red","349-549/15",0
"Bigfoot_6L_445","California Red","349-575/15",0
"Bigfoot_6L_445","California Red","349-615/24",0
"Bigfoot_6L_445","California Red","349-670/30",0
"Bigfoot_6L_445","California Red","349-728/40",0
"Bigfoot_6L_445","California Red","349-750LP",0
"Bigfoot_6L_445","California Red","405-420/10",0
"Bigfoot_6L_445","California Red","405-434/17",0
"Bigfoot_6L_445","California Red","405-455/14",0
"Bigfoot_6L_445","California Red","405-473/15",0
"Bigfoot_6L_445","California Red","405-507/19",0
"Bigfoot_6L_445","California Red","405-549/15",0
"Bigfoot_6L_445","California Red","405-575/15",0
"Bigfoot_6L_445","California Red","405-615/24",0
"Bigfoot_6L_445","California Red","405-661/20",0
"Bigfoot_6L_445","California Red","405-710/20",0
"Bigfoot_6L_445","California Red","405-747/33",0
"Bigfoot_6L_445","California Red","405-770LP",0
"Bigfoot_6L_445","California Red","445-465/22",0
"Bigfoot_6L_445","California Red","445-525/35",0
"Bigfoot_6L_445","California Red","445-583/30",0
"Bigfoot_6L_445","California Red","445-650LP",0
"Bigfoot_6L_445","California Red","488-507/19",0
"Bigfoot_6L_445","California Red","488-549/15",0
"Bigfoot_6L_445","California Red","488-583/30",0
"Bigfoot_6L_445","California Red","488-615/24",0
"Bigfoot_6L_445","California Red","488-670/30",0
"Bigfoot_6L_445","California Red","488-720/60",0
"Bigfoot_6L_445","California Red","488-750LP",0
"Bigfoot_6L_445","California Red","561-575/15",0.0421052631578947
"Bigfoot_6L_445","California Red","561-589/15",0.4
"Bigfoot_6L_445","California Red","561-605/15",1
"Bigfoot_6L_445","California Red","561-622/15",0.8
"Bigfoot_6L_445","California Red","561-661/20",0.168421052631579
"Bigfoot_6L_445","California Red","561-685/15",0.0842105263157895
"Bigfoot_6L_445","California Red","561-700/13",0.0421052631578947
"Bigfoot_6L_445","California Red","561-720/24",0
"Bigfoot_6L_445","California Red","561-760/50",0
"Bigfoot_6L_445","California Red","561-800/12",0
"Bigfoot_6L_445","California Red","561-832/37",0
"Bigfoot_6L_445","California Red","561-860LP",0
"Bigfoot_6L_445","California Red","640-670/30",0
"Bigfoot_6L_445","California Red","640-700/13",0
"Bigfoot_6L_445","California Red","640-720/24",0
"Bigfoot_6L_445","California Red","640-760/50",0
"Bigfoot_6L_445","California Red","640-770LP",0
"Bigfoot_6L_445","CF680ST","349-387/11",0
"Bigfoot_6L_445","CF680ST","349-420/10",0
"Bigfoot_6L_445","CF680ST","349-434/17",0
"Bigfoot_6L_445","CF680ST","349-455/14",0
"Bigfoot_6L_445","CF680ST","349-473/15",0
"Bigfoot_6L_445","CF680ST","349-507/19",0
"Bigfoot_6L_445","CF680ST","349-549/15",0
"Bigfoot_6L_445","CF680ST","349-575/15",0
